produto_id,categoria,sub_categoria,nome_produto
TEC-AC-10003033,Technology,Accessories,Plantronics CS510 - Over-the-Head monaural Wireless Headset System
FUR-CH-10003950,Furniture,Chairs,"Novimex Executive Leather Armchair, Black"
TEC-PH-10004664,Technology,Phones,"Nokia Smart Phone, with Caller ID"
TEC-PH-10004583,Technology,Phones,"Motorola Smart Phone, Cordless"
TEC-SHA-10000501,Technology,Copiers,"Sharp Wireless Fax, High-Speed"
TEC-PH-10000030,Technology,Phones,"Samsung Smart Phone, with Caller ID"
FUR-CH-10004050,Furniture,Chairs,"Novimex Executive Leather Armchair, Adjustable"
FUR-TA-10002958,Furniture,Tables,"Chromcraft Conference Table, Fully Assembled"
OFF-BI-10003527,Office Supplies,Binders,Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind
FUR-TA-10000198,Furniture,Tables,Chromcraft Bull-Nose Wood Oval Conference Tables & Bases
OFF-SU-10002881,Office Supplies,Supplies,Martin Yale Chadless Opener Electric Letter Opener
FUR-TA-10001889,Furniture,Tables,"Bevis Conference Table, Fully Assembled"
TEC-CIS-10001717,Technology,Phones,"Cisco Smart Phone, with Caller ID"
FUR-CH-10002033,Furniture,Chairs,"Harbour Creations Executive Leather Armchair, Adjustable"
OFF-AP-10003500,Office Supplies,Appliances,"KitchenAid Microwave, White"
OFF-AP-10000423,Office Supplies,Appliances,"Breville Refrigerator, Red"
TEC-AC-10004145,Technology,Accessories,Logitech diNovo Edge Keyboard
OFF-AP-10004512,Office Supplies,Appliances,"Hoover Stove, Red"
TEC-CO-10000865,Technology,Copiers,"Brother Fax Machine, High-Speed"
OFF-KIT-10004058,Office Supplies,Appliances,"KitchenAid Stove, White"
FUR-HON-10000224,Furniture,Tables,"Hon Computer Table, with Bottom Storage"
TEC-PH-10001363,Technology,Phones,Apple iPhone 5S
FUR-CH-10000027,Furniture,Chairs,"SAFCO Executive Leather Armchair, Black"
OFF-AP-10003590,Office Supplies,Appliances,"KitchenAid Refrigerator, Black"
TEC-PH-10004182,Technology,Phones,"Motorola Smart Phone, Full Size"
FUR-TA-10002827,Furniture,Tables,"Hon Computer Table, Fully Assembled"
FUR-TA-10004744,Furniture,Tables,"Lesro Conference Table, with Bottom Storage"
TEC-PH-10002885,Technology,Phones,Apple iPhone 5
FUR-CH-10001415,Furniture,Chairs,"Office Star Executive Leather Armchair, Red"
TEC-PH-10002815,Technology,Phones,"Samsung Smart Phone, VoIP"
TEC-MA-10000161,Technology,Machines,"Okidata Inkjet, Wireless"
FUR-CH-10002024,Furniture,Chairs,HON 5400 Series Task Chairs for Big and Tall
OFF-AP-10004246,Office Supplies,Appliances,"Breville Stove, Red"
FUR-TA-10003473,Furniture,Tables,Bretford Rectangular Conference Table Tops
TEC-APP-10000308,Technology,Phones,"Apple Smart Phone, Full Size"
TEC-MA-10003979,Technology,Machines,Ativa V4110MDD Micro-Cut Shredder
TEC-MA-10004125,Technology,Machines,Cubify CubeX 3D Printer Triple Head Print
TEC-CO-10000013,Technology,Copiers,"Brother Fax Machine, Laser"
TEC-PH-10000499,Technology,Phones,"Motorola Smart Phone, Full Size"
TEC-PH-10003856,Technology,Phones,"Motorola Smart Phone, with Caller ID"
FUR-BO-10004852,Furniture,Bookcases,"Sauder Classic Bookcase, Traditional"
OFF-AP-10000486,Office Supplies,Appliances,"Cuisinart Stove, Silver"
